M,d,A_star,rho_star
1,6.746803652968037,0.5559775520907423,0.5559775520907423
1,6.769589041095891,0.557472062872959,0.557472062872959
1,6.792374429223745,0.5589565468203508,0.5589565468203508
1,6.815159817351598,0.5604311045022355,0.5604311045022355
1,6.8379452054794525,0.5618958351474626,0.5618958351474626
1,6.860730593607306,0.5633508366666732,0.5633508366666732
1,6.88351598173516,0.5647962056741183,0.5647962056741183
1,6.906301369863014,0.5662320375090424,0.5662320375090424
1,6.929086757990868,0.5676584262566486,0.5676584262566486
1,6.951872146118722,0.5690754647686482,0.5690754647686482
1,6.9746575342465755,0.5704832446834113,0.5704832446834113
1,6.99744292237443,0.5718818564457183,0.5718818564457183
1,7.020228310502283,0.5732713893261331,0.5732713893261331
1,7.043013698630137,0.5746519314399946,0.5746519314399946
1,7.065799086757991,0.5760235697660454,0.5760235697660454
1,7.088584474885845,0.5773863901646977,0.5773863901646977
1,7.1113698630136986,0.5787404773959485,0.5787404773959485
1,7.134155251141553,0.5800859151369556,0.5800859151369556
1,7.156940639269407,0.5814227859992703,0.5814227859992703
1,7.179726027397261,0.5827511715457505,0.5827511715457505
1,7.202511415525114,0.5840711523071459,0.5840711523071459
1,7.225296803652968,0.5853828077983725,0.5853828077983725
1,7.2480821917808225,0.5866862165344803,0.5866862165344803
1,7.270867579908676,0.5879814560463201,0.5879814560463201
1,7.29365296803653,0.5892686028959164,0.5892686028959164
1,7.316438356164384,0.5905477326915537,0.5905477326915537
1,7.339223744292238,0.5918189201025803,0.5918189201025803
1,7.362009132420091,0.5930822388739402,0.5930822388739402
1,7.3847945205479455,0.5943377618404326,0.5943377618404326
1,7.4075799086758,0.59558556094071,0.59558556094071
1,7.430365296803653,0.5968257072310196,0.5968257072310196
1,7.453150684931507,0.5980582708986892,0.5980582708986892
1,7.475936073059361,0.5992833212753714,0.5992833212753714
1,7.498721461187215,0.6005009268500423,0.6005009268500423
1,7.5215068493150685,0.6017111552817652,0.6017111552817652
1,7.544292237442923,0.6029140734122241,0.6029140734122241
1,7.567077625570777,0.6041097472780288,0.6041097472780288
1,7.58986301369863,0.6052982421228005,0.6052982421228005
1,7.612648401826484,0.6064796224090383,0.6064796224090383
1,7.635433789954338,0.6076539518297749,0.6076539518297749
1,7.658219178082192,0.6088212933200228,0.6088212933200228
1,7.681004566210046,0.6099817090680183,0.6099817090680183
1,7.7037899543379,0.6111352605262647,0.6111352605262647
1,7.726575342465754,0.6122820084223792,0.6122820084223792
1,7.749360730593608,0.6134220127697534,0.6134220127697534
1,7.772146118721461,0.6145553328780192,0.6145553328780192
1,7.7949315068493155,0.6156820273633353,0.6156820273633353
1,7.81771689497717,0.6168021541584955,0.6168021541584955
1,7.840502283105023,0.6179157705228538,0.6179157705228538
1,7.863287671232877,0.6190229330520868,0.6190229330520868
1,7.886073059360731,0.6201236976877778,0.6201236976877778
1,7.908858447488585,0.6212181197268404,0.6212181197268404
1,7.9316438356164385,0.6223062538307781,0.6223062538307781
1,7.954429223744293,0.623388154034785,0.623388154034785
